Text	Category
- REEF.: (140330) - SPRAY CAPILAR 270ML - TIGI CATWALK SESSION SERIES SALT SPRAY - PROT.DO.M.S	cosmeticos
BOZZANO ESPUMA BARBA CERRADA 6X190G	cosmeticos
NINA ELIXIR BC100 GENERIC GWP 2012	cosmeticos
CHA DE CAMOMILA 12X10X1,0 G	cosmeticos
EDP SILVER RAIN VAPO 50 ML	cosmeticos
MINOTAURE M75	cosmeticos
BATOM COLORAMA N 19 MORANGO GE	cosmeticos
NEEDS HOM SABPOS BARB	cosmeticos
BRUTO GEL SABAO PERF LAVANDA CX 4X5 LT	cosmeticos
Spray Defrizante 120 Ml Termo Ativado Acqua Flora UN	cosmeticos
DES.VICHY ANTI-TR.24H AE 125	cosmeticos
SH ELSEVEQUER.SOLT. 200M	cosmeticos
TESTER KOUROS EDT 100ML	cosmeticos
PINCEL LABIOS	cosmeticos
COLOR S BT NEM CONT C3	cosmeticos
NIVEA HID BAN MILK250	cosmeticos
ESM CREM BLIS MERENGUE 1X6	cosmeticos
ESTOJO BE DELICIOUS 30ML + BE DELICIOUS 30ML	cosmeticos
BIGUDINHO FLEX 1,2X25	cosmeticos
REP.PONTAS F.FLOR TEEN30ML	cosmeticos
BATOM VULT COR 39/CR/	cosmeticos
LY FASHION PROVO MAN EDT 100ML	cosmeticos
SAB HIDRAMAIS BLUEBERRY 500ML	cosmeticos
ESM IMPALA PEROLADO SONHO	cosmeticos
VICHY IDEALIA DAYPROOF 50ML	cosmeticos
SH ELSE EXTRA 400	cosmeticos
PAP HIG CARINHO PLUS F/S NEUTRO C/8 30MT 1X1UN QTD. 1.00 UN	cosmeticos
CON MONANGE 350ML CACHOS PERFEITOS UN0001UN	cosmeticos
SHAMPOO DEEP CLEAN DETOX POWER BLOND500 ML	cosmeticos
Deo Colonia Desodorante 1 L R30370 no. 1	cosmeticos
CLEAN CLEAN ADVANTAGE GEL LIMPEZA ANTI ACNE 100G	cosmeticos
ED COLG TWISTER L3P2	cosmeticos
BARRA PARA BARBEAR - 70GR - Lote: 4736	cosmeticos
PF CO NIELY GOLD POS QUIMICA 200ML UN/0001/UN	cosmeticos
DERMASOFT EXTRATO DE PEPINO E ALFACE 315ml	cosmeticos
MASC POPDRAT PROF B BAMBU 1,6-KG	cosmeticos
COND DOVE CONTROL QUEDA 200ML	cosmeticos
MASCARA BELLE REPARACAO 300ML CX C/6	cosmeticos
KIT DE MANICURE EM CX C/200SETS 4PCS	cosmeticos
BELLA UNHA LOCAO 10 ML LOTE NR: 030 VALIDADE: 11/2015	cosmeticos
MASC LANCBIO PROF OLEO DE ARGAN 1,8-KG	cosmeticos
DESODORANTE ROLL ON SENSITIVE CARE - 50ML	cosmeticos
RED APPLE BRONZ. CANELA 125 ML	cosmeticos
Condicionador Liso Expresso 250 Ml Protecao Termica Capicilin UN	cosmeticos
DESODORANTE INTIMO LICHIA 35ML	cosmeticos
BATOM COR 02PINK	cosmeticos
SAB. 290 ML INTIMO LV 290 PG 200	cosmeticos
CR. DE HIDRATACAO MAXIMA QUERATINA 300G	cosmeticos
DERMOPES - TALCO ANTI-SEPTICO	cosmeticos
GUARDANAP SPOL 33X33CM CX 3000	cosmeticos
GEL RED B.BYE C/2 DE.50 2	cosmeticos
PALM MILK SAB LIQ 250	cosmeticos
DEFRIZANTE CUPUACU HMB 300ML	cosmeticos
RV PHOTO MOUSSE MAKE UP NAT BEIGE TEST	cosmeticos
TIOGLIC STICK 4G	cosmeticos
ES COLOR 127 WATERMELON	cosmeticos
HEALTHY MIX FDT -VANILLE TESTER NEW	cosmeticos
ESMALTE DANKE SHINY RED 15 ML	cosmeticos
PO SOLTO SELECT SHEER NC 15	cosmeticos
YE COLOR HAIR 3.31 60ML	cosmeticos
TINT KOLESTON KIT 72 LOURO MATE MEDIO	cosmeticos
VAGIDRAT HIDRAT INTRAVAGINAL 30G	cosmeticos
BASTAO STICK SICCATIF 4GR	cosmeticos
CR.MAOS LOCCIT PVOIN FLORA 30M	cosmeticos
ELASTICO PCABELO PAR	cosmeticos
POLO BLACK EDT 40ML	cosmeticos
DUE FACCETTA MASSIMO 300ML	cosmeticos
Deo Colonia Desodorante 1/2 L R30370 no. 65	cosmeticos
SH LISS CABELOS LISOS KN 400ML	cosmeticos
HIDRACARE PELE OLEOSA FPS 35 - 45G -L.201611055A	cosmeticos
Tinta Olia 6.43 Mel Acobreado Loreal UN	cosmeticos
BATOM FROST CB-96	cosmeticos
ESC. RICCA CLASSIC REDONDA	cosmeticos
NIVEA CELL OLHOS 15G	cosmeticos
PROT SOLAR SUNDOWN FPS 50	cosmeticos
SHAMPOO TRESEMME SELAGEM ORIGINAL 400ML	cosmeticos
DS RED APPLE 055GR CR ACTIVE	cosmeticos
1816330 ST MASCARA VERMELHO CAL	cosmeticos
ED.ORAL B 7 BENEF.PS.40 L2P1	cosmeticos
EDEFATIGANT ECLAIR YEUX CLARINS 20ML	cosmeticos
Sprayset Mousse 180 Ml Mega Forte Aerojet UN	cosmeticos
HIDRASHOWER HIDRATANTE CORPO FPS17 DERMAGE 200G -L.201402010	cosmeticos
Manteiga Corporal 110 g Amendoas CBaunilha Muriel CX	cosmeticos
Maxpaper Classic (HRC) 10X300 8 Rls Extra Luxo	cosmeticos
DES.BIO ROL.F.INV.BW.50ML	cosmeticos
MET 15 BABY GLOW 4 DORE TEST	cosmeticos
COND LORYS BABY MELISSA 500 ML	cosmeticos
CETAPHIL SAB.P.SECA 80G	cosmeticos
ESMALTE BEAUTY COLOR CRE.081 PINK TULIP*	cosmeticos
KIT PROGRESSIVA LIZZE STEP1 E STEP2 DE 500ML	cosmeticos
ESTOJO WOLF 2014-AFTHER/COL/DESODORANTE	cosmeticos
ESC.D.TEK MEDIA 12UN	cosmeticos
RECONS CAP WELLA COLOR PERM PRE TRE 18M	cosmeticos
PATE PLATINIUM PLUS 500G V2	cosmeticos
BIOLAGE REPAIR CPP 200ML	cosmeticos
GEL COMBATE ARN C/ SEBO DE CARNEIRO 200 Tot. Tributos R$ 40,73 Federal R$ 28,50 Estadual	cosmeticos
SHAM G DOURADA GOTA JABERVAS 340 ML	cosmeticos
PAPEL TOALHA C/1000 FLS 20X21	cosmeticos
CR.FAC NIVEA VISEX.LIF A-IDNOT	cosmeticos
ESCOVA DENTAL INF OBA OBA OB-008 CX C/60 DZ	cosmeticos
ESM A H SB MET MUSA DE LIMAO 6X1 09 ML	cosmeticos
Gel Silicone 15 g Ref. 0040 Fingrs UN	cosmeticos
SAB PHEBO RAIZ ORIENTE 250ML	cosmeticos
DES GILLETTE CLEAR GEL MEN ARCTIC ICE 82G	cosmeticos
BLUSH 15 03 PEACH PARTY TESTER	cosmeticos
DS REXONA 030ML ROL COMPACT POWDER	cosmeticos
CREME TRATAMENTO INTENSIVO TUTANO 1KG	cosmeticos
FIORUCCI SAB PERF C3	cosmeticos
COPP UG FPS 30 125ML	cosmeticos
FIO DENTAL HILLO 100 MT WOMAN NORM 12X1	cosmeticos
PINCA ENOX PT.OBL 673	cosmeticos
DREAM BLUSH TOUC C/3	cosmeticos
BAT HYDRAEXT NU 520 CORAL CHIC	cosmeticos
DESOD REXONA ROLL-ON MEN ANTIBACT 50ML UN/0001	cosmeticos
Unhas Color Ref. 2238 Rubi Fingrs UN	cosmeticos
COND NEUTROX CLAS 350M	cosmeticos
CR CAB PENT KOLENE GELEIA REAL 300 ML UN/0001	cosmeticos
POWER BLEACHING PC 37% KIT/3 Ser.: Lote: 0122/0916 x6	cosmeticos
ROC PRODEFINE CONC 50	cosmeticos
SAB.LIQ.T.MONICA SUAVE 200ML	cosmeticos
ESC CAB CONDOR SHANA MADEIRA 6821	cosmeticos
ANGEL EDT 40ML	cosmeticos
LOC DES CORP HIDRA PELE PROTEINA DO LEITE 300ML GS	cosmeticos
Papel toalha bobina NOBRE Confort caixa c/6x0,20x200m (celulose virgem)	cosmeticos
CREME NEUTROX PENTEAR CLASSICO 300ML	cosmeticos
REF.:(985722) COLORACAO CONDICIONADORA EM CREME PARA CABELOS - LOURO MEDIO (7N MEDIUM BLONDE) 60ml-IS	cosmeticos
DESOD REXONA AERO WOMEN BAMBOO 105 GR UN/0001	cosmeticos
SH PANTENE CUIDADO CLASSICO 400ML UN/0001	cosmeticos
AR TRAT. BASE PARA UNHAS ROIDA	cosmeticos
COND OL ARGAN MAXI POPDRAT 500ML	cosmeticos
BATOM PRETA GIL NA PISTA 3.5G LT22992 A V09/18	cosmeticos
SABONETE GINGER TRAVEL BOX 100G	cosmeticos
AROMA ABACAXI PO	cosmeticos
LENCOS UMED PIQUITUCHO POTE 70 ROSA (COM 12 PCS) - Lote: 010594	cosmeticos
- REF.: (65792184000) - TESTER AGUA DE COLONIA 100ML - CK RED HER - CALVIN KLEIN CK ONE RED FOR HER EAU D	cosmeticos
BATOM MAYBELLINE COLOR SENSATIONAL CREM NR 107 ROSA CAUSAR	cosmeticos
DESOD RED APPLE ROLL-ON FEMIN. NAT.50 ML UN/0001	cosmeticos
PO DAILUS N. 18 CREME	cosmeticos
Esmalte Full Color Cremoso Alianca Solto 9ml	cosmeticos
G3 CONC IONIZAVEL DENSE LIFT+CALCIO	cosmeticos
SABONETE ASEPXIA NEUTRO 90G	cosmeticos
ANTHELIOS XL FLUIDE FPS 50 125ML	cosmeticos
"KIT FOFURA (1- Shampoo; 1- Condicionador;1- Cr. p/ desembaracar; 1- Colonia; 1- hi dratante; 1-Sacola plastica)"	cosmeticos
RENO EXC CR 6.41 MARROM	cosmeticos
COND LORYS BABY CALENDULA 500 ML	cosmeticos
1605828 ST ESCOVA THERMAL CERAMI	cosmeticos
ORIGEM CREME PENTEAR CACHOS CONT 300ML	cosmeticos
DES NIVEA ROLL FEM INV BEW 3X50ML 15% DES	cosmeticos
MKU 16 FALL E/SHADX5 01 TEST	cosmeticos
