text	cosmetics	cleaning	food
- REEF.: (140330) - SPRAY CAPILAR 270ML - TIGI CATWALK SESSION SERIES SALT SPRAY - PROT.DO.M.S	1	0	0
BOZZANO ESPUMA BARBA CERRADA 6X190G	1	0	0
NINA ELIXIR BC100 GENERIC GWP 2012	1	0	0
CHA DE CAMOMILA 12X10X1,0 G	1	0	0
EDP SILVER RAIN VAPO 50 ML	1	0	0
MINOTAURE M75	1	0	0
BATOM COLORAMA N 19 MORANGO GE	1	0	0
NEEDS HOM SABPOS BARB	1	0	0
BRUTO GEL SABAO PERF LAVANDA CX 4X5 LT	1	0	0
Spray Defrizante 120 Ml Termo Ativado Acqua Flora UN	1	0	0
DES.VICHY ANTI-TR.24H AE 125	1	0	0
SH ELSEVEQUER.SOLT. 200M	1	0	0
TESTER KOUROS EDT 100ML	1	0	0
PINCEL LABIOS	1	0	0
COLOR S BT NEM CONT C3	1	0	0
NIVEA HID BAN MILK250	1	0	0
ESM CREM BLIS MERENGUE 1X6	1	0	0
ESTOJO BE DELICIOUS 30ML + BE DELICIOUS 30ML	1	0	0
BIGUDINHO FLEX 1,2X25	1	0	0
REP.PONTAS F.FLOR TEEN30ML	1	0	0
BATOM VULT COR 39/CR/	1	0	0
LY FASHION PROVO MAN EDT 100ML	1	0	0
SAB HIDRAMAIS BLUEBERRY 500ML	1	0	0
ESM IMPALA PEROLADO SONHO	1	0	0
VICHY IDEALIA DAYPROOF 50ML	1	0	0
SH ELSE EXTRA 400	1	0	0
PAP HIG CARINHO PLUS F/S NEUTRO C/8 30MT 1X1UN QTD. 1.00 UN	1	0	0
CON MONANGE 350ML CACHOS PERFEITOS UN0001UN	1	0	0
SHAMPOO DEEP CLEAN DETOX POWER BLOND500 ML	1	0	0
Deo Colonia Desodorante 1 L R30370 no. 1	1	0	0
CLEAN CLEAN ADVANTAGE GEL LIMPEZA ANTI ACNE 100G	1	0	0
ED COLG TWISTER L3P2	1	0	0
BARRA PARA BARBEAR - 70GR - Lote: 4736	1	0	0
PF CO NIELY GOLD POS QUIMICA 200ML UN/0001/UN	1	0	0
DERMASOFT EXTRATO DE PEPINO E ALFACE 315ml	1	0	0
MASC POPDRAT PROF B BAMBU 1,6-KG	1	0	0
COND DOVE CONTROL QUEDA 200ML	1	0	0
MASCARA BELLE REPARACAO 300ML CX C/6	1	0	0
KIT DE MANICURE EM CX C/200SETS 4PCS	1	0	0
BELLA UNHA LOCAO 10 ML LOTE NR: 030 VALIDADE: 11/2015	1	0	0
MASC LANCBIO PROF OLEO DE ARGAN 1,8-KG	1	0	0
DESODORANTE ROLL ON SENSITIVE CARE - 50ML	1	0	0
